Ticket Number,Date,Application,Description,Incident Description,Steps Taken,Proposed Fix,ErrorNo
7,4/1/2021,SP_VND,Error when creating vendor invoice,SP_VND Error when creating vendor invoice,Checked system settings Checked invoice details Deleted invoice and recreated,Delete Old Invoice and Re-Create the Invoice,
8,4/1/2021,SP_VND,Cannot post payment to vendor,SP_VND Cannot post payment to vendor,Checked user access Checked payment details Reconfigured user access,Configure the User Access to post payment against Vendor,
9,5/1/2021,SP_VND,Vendor invoice not showing in system,SP_VND Vendor invoice not showing in system,Checked system settings Checked invoice details Reconfigured system settings,Configure the User Access to view Vendor Invoice page,ERRVND0123
10,5/1/2021,SP_VND,Error when creating vendor payment,SP_VND Error when creating vendor payment,Checked invoice details Checked user access ,Resolved by Reconfiguring user access for Vendor Payment,
11,6/1/2021,SP_VND,Cannot post payment to vendor,SP_VND Cannot post payment to vendor,Checked system settings Checked payment details Reconfigured system settings,Resolved by Reconfiguring user access for Payment posting,
12,6/1/2021,SP_VND,Vendor invoice not showing in system,SP_VND Vendor invoice not showing in system,Checked invoice details Checked user access Reconfigured user access,Resolved by Reconfiguring user access for Vendor Invoicing,
13,7/1/2021,SP_VND,Error when creating vendor invoice,SP_VND Error when creating vendor invoice,Checked system settings Checked user access Reconfigured system settings,Resolved by Reconfiguring user access for Vendor Invoice Creation,
15,8/1/2021,SP_VND,Vendor invoice not showing in system,SP_VND Vendor invoice not showing in system,Checked user access Checked invoice details Reconfigured user access,Resolved by Reconfiguring user access for Viewing Vendor Invoice ,
16,8/1/2021,SP_VND,Error when creating vendor payment,SP_VND Error when creating vendor payment,Checked user access Checked payment details Reconfigured user access,Resolved by Reconfiguring user access for Vendor Payment Creation,
1,7/3/2020,SP_INV,Unable to adjust quantities in stock,SP_INV Unable to adjust quantities in stock,Checked user authorization,Adjusted user authorization to allow changing stock quantities.,
2,7/4/2020,SP_INV,Error when creating PO,SP_INV Error when creating PO,Checked user authorization,Adjusted user authorization to allow creating PO.,
3,7/5/2020,SP_INV,Unable to view availability of stock,SP_INV Unable to view availability of stock,Checked user authorization,Adjusted user authorization to allow viewing stock availability.,
4,7/6/2020,SP_INV,Unable to edit purchase order,SP_INV Unable to edit purchase order,Checked user authorization,Adjusted user authorization to allow editing purchase order.,
5,7/7/2020,SP_INV,Error when entering goods receipt,SP_INV Error when entering goods receipt,Checked user authorization,Adjusted user authorization to allow entering goods receipt.,
6,7/8/2020,SP_INV,Unable to create billing document,SP_INV Unable to create billing document,Checked user authorization,Adjusted user authorization to allow creating billing documents.,
7,7/9/2020,SP_INV,Unable to change material price,SP_INV Unable to change material price,Checked user authorization,Adjusted user authorization to allow changing material prices.,
8,7/10/2020,SP_INV,Unable to post goods issue,SP_INV Unable to post goods issue,Checked user authorization,Adjusted user authorization to allow posting goods issue.,
9,7/11/2020,SP_INV,Unable to create sales order,SP_INV Unable to create sales order,Checked user authorization,Adjusted user authorization to allow creating sales orders.,
10,7/12/2020,SP_INV,Unable to view invoice list,SP_INV Unable to view invoice list,Checked user authorization,Adjusted user authorization to allow viewing invoice list.,
11,7/13/2020,SP_INV,Unable to display cost of material,SP_INV Unable to display cost of material,Checked user authorization,Adjusted user authorization to allow displaying cost of material.,
12,7/14/2020,SP_INV,Unable to create goods issue,SP_INV Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,ERRINV0345
13,7/15/2020,SP_INV,Unable to display inventory status,SP_INV Unable to display inventory status,Checked user authorization,Adjusted user authorization to allow displaying inventory status.,
14,7/16/2020,SP_INV,Unable to adjust material availability,SP_INV Unable to adjust material availability,Checked user authorization,Adjusted user authorization to allow adjusting material availability.,
15,7/17/2020,SP_INV,Unable to post billing document,SP_INV Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
16,7/18/2020,SP_INV,Unable to delete purchase order,SP_INV Unable to delete purchase order,Checked user authorization,Adjusted user authorization to allow deleting purchase orders.,
17,7/19/2020,SP_INV,Unable to change billing type,SP_INV Unable to change billing type,Checked user authorization,Adjusted user authorization to allow changing billing type.,
18,7/20/2020,SP_INV,Unable to view open orders,SP_INV Unable to view open orders,Checked user authorization,Adjusted user authorization to allow viewing open orders.,
19,7/21/2020,SP_INV,Unable to create delivery,SP_INV Unable to create delivery,Checked user authorization,Adjusted user authorization to allow creating deliveries.,
20,7/22/2020,SP_INV,Unable to update stock quantity,SP_INV Unable to update stock quantity,Checked user authorization,Adjusted user authorization to allow updating stock quantity.,
21,7/23/2020,SP_INV,Unable to delete sales order,SP_INV Unable to delete sales order,Checked user authorization,Adjusted user authorization to allow deleting sales orders.,
22,7/24/2020,SP_INV,Unable to view material list,SP_INV Unable to view material list,Checked user authorization,Adjusted user authorization to allow viewing material list.,
23,7/25/2020,SP_INV,Unable to approve invoices,SP_INV Unable to approve invoices,Checked user authorization,Adjusted user authorization to allow approving invoices.,
24,7/26/2020,SP_INV,Unable to change item category,SP_INV Unable to change item category,Checked user authorization,Adjusted user authorization to allow changing item category.,
25,7/27/2020,SP_INV,Unable to adjust delivery date,SP_INV Unable to adjust delivery date,Checked user authorization,Adjusted user authorization to allow adjusting delivery date.,
26,7/28/2020,SP_INV,Unable to post goods receipt,SP_INV Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
27,7/29/2020,SP_INV,Unable to delete delivery,SP_INV Unable to delete delivery,Checked user authorization,Adjusted user authorization to allow deleting delivery.,
28,7/30/2020,SP_INV,Unable to view sales document,SP_INV Unable to view sales document,Checked user authorization,Adjusted user authorization to allow viewing sales documents.,
29,7/31/2020,SP_INV,Unable to create purchase order,SP_INV Unable to create purchase order,Checked user authorization,Adjusted user authorization to allow creating purchase orders.,
30,8/1/2020,SP_INV,Unable to view purchase order list,SP_INV Unable to view purchase order list,Checked user authorization,Adjusted user authorization to allow viewing purchase order list.,ERRINV0356
31,8/2/2020,SP_INV,Unable to adjust material stock,SP_INV Unable to adjust material stock,Checked user authorization,Adjusted user authorization to allow adjusting material stock.,
32,8/3/2020,SP_INV,Unable to change plant,SP_INV Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
33,8/4/2020,SP_INV,Unable to delete goods issue,SP_INV Unable to delete goods issue,Checked user authorization,Adjusted user authorization to allow deleting goods issue.,
34,8/5/2020,SP_INV,Unable to view pricing information,SP_INV Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
35,8/6/2020,SP_INV,Unable to approve sales order,SP_INV Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
36,8/7/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
37,8/8/2020,SP_INV,Unable to create billing document,SP_INV Unable to create billing document,Checked user authorization,Adjusted user authorization to allow creating billing documents.,
38,8/9/2020,SP_INV,Unable to view material availability,SP_INV Unable to view material availability,Checked user authorization,Adjusted user authorization to allow viewing material availability.,
39,8/10/2020,SP_INV,Unable to post goods receipt,SP_INV Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
40,8/11/2020,SP_INV,Unable to change pricing type,SP_INV Unable to change pricing type,Checked user authorization,Adjusted user authorization to allow changing pricing type.,
41,8/12/2020,SP_INV,Unable to approve delivery,SP_INV Unable to approve delivery,Checked user authorization,Adjusted user authorization to allow approving delivery.,
42,8/13/2020,SP_INV,Unable to view delivery list,SP_INV Unable to view delivery list,Checked user authorization,Adjusted user authorization to allow viewing delivery list.,
43,8/14/2020,SP_INV,Unable to post billing document,SP_INV Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
44,8/15/2020,SP_INV,Unable to change item category,SP_INV Unable to change item category,Checked user authorization,Adjusted user authorization to allow changing item category.,
45,8/16/2020,SP_INV,Unable to view inventory status,SP_INV Unable to view inventory status,Checked user authorization,Adjusted user authorization to allow viewing inventory status.,
46,8/17/2020,SP_INV,Unable to create goods issue,SP_INV Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
47,8/18/2020,SP_INV,Unable to change plant,SP_INV Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
48,8/19/2020,SP_INV,Unable to delete goods receipt,SP_INV Unable to delete goods receipt,Checked user authorization,Adjusted user authorization to allow deleting goods receipt.,ERRINV0333
49,8/20/2020,SP_INV,Unable to approve sales order,SP_INV Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
50,8/21/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
51,8/22/2020,SP_INV,Unable to post billing document,SP_INV Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
52,8/23/2020,SP_INV,Unable to view delivery list,SP_INV Unable to view delivery list,Checked user authorization,Adjusted user authorization to allow viewing delivery list.,
53,8/24/2020,SP_INV,Unable to create goods issue,SP_INV Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
54,8/25/2020,SP_INV,Unable to change plant,SP_INV Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
55,8/26/2020,SP_INV,Unable to delete billing document,SP_INV Unable to delete billing document,Checked user authorization,Adjusted user authorization to allow deleting billing documents.,
56,8/27/2020,SP_INV,Unable to view inventory status,SP_INV Unable to view inventory status,Checked user authorization,Adjusted user authorization to allow viewing inventory status.,
57,8/28/2020,SP_INV,Unable to approve delivery,SP_INV Unable to approve delivery,Checked user authorization,Adjusted user authorization to allow approving delivery.,
58,8/29/2020,SP_INV,Unable to post goods receipt,SP_INV Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
59,8/30/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
60,8/31/2020,SP_INV,Unable to view sales document,SP_INV Unable to view sales document,Checked user authorization,Adjusted user authorization to allow viewing sales documents.,
61,9/1/2020,SP_INV,Unable to create purchase order,SP_INV Unable to create purchase order,Checked user authorization,Adjusted user authorization to allow creating purchase orders.,
62,9/2/2020,SP_INV,Unable to view open orders,SP_INV Unable to view open orders,Checked user authorization,Adjusted user authorization to allow viewing open orders.,
63,9/3/2020,SP_INV,Unable to change plant,SP_INV Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
64,9/4/2020,SP_INV,Unable to approve sales order,SP_INV Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
65,9/5/2020,SP_INV,Unable to delete goods issue,SP_INV Unable to delete goods issue,Checked user authorization,Adjusted user authorization to allow deleting goods issue.,
66,9/6/2020,SP_INV,Unable to view pricing information,SP_INV Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,ERRINV0656
67,9/7/2020,SP_INV,Unable to post billing document,SP_INV Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
68,9/8/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
69,9/9/2020,SP_INV,Unable to approve delivery,SP_INV Unable to approve delivery,Checked user authorization,Adjusted user authorization to allow approving delivery.,
70,9/10/2020,SP_INV,Unable to post goods receipt,SP_INV Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
71,9/11/2020,SP_INV,Unable to view pricing information,SP_INV Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
72,9/12/2020,SP_INV,Unable to approve sales order,SP_INV Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
73,9/13/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
74,9/14/2020,SP_INV,Unable to delete goods issue,SP_INV Unable to delete goods issue,Checked user authorization,Adjusted user authorization to allow deleting goods issue.,
75,9/15/2020,SP_INV,Unable to post billing document,SP_INV Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
76,9/16/2020,SP_INV,Unable to view pricing information,SP_INV Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
77,9/17/2020,SP_INV,Unable to create purchase order,SP_INV Unable to create purchase order,Checked user authorization,Adjusted user authorization to allow creating purchase orders.,
78,9/18/2020,SP_INV,Unable to change plant,SP_INV Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
79,9/19/2020,SP_INV,Unable to post goods receipt,SP_INV Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
80,9/20/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
81,9/21/2020,SP_INV,Unable to view pricing information,SP_INV Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
82,9/22/2020,SP_INV,Unable to create goods issue,SP_INV Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
83,9/23/2020,SP_INV,Unable to change plant,SP_INV Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
84,9/24/2020,SP_INV,Unable to delete goods receipt,SP_INV Unable to delete goods receipt,Checked user authorization,Adjusted user authorization to allow deleting goods receipt.,ERRINV0333
85,9/25/2020,SP_INV,Unable to view sales document,SP_INV Unable to view sales document,Checked user authorization,Adjusted user authorization to allow viewing sales documents.,
86,9/26/2020,SP_INV,Unable to approve delivery,SP_INV Unable to approve delivery,Checked user authorization,Adjusted user authorization to allow approving delivery.,
87,9/27/2020,SP_INV,Unable to post billing document,SP_INV Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
88,9/28/2020,SP_INV,Unable to create goods issue,SP_INV Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
89,9/29/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
90,9/30/2020,SP_INV,Unable to view pricing information,SP_INV Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
91,10/1/2020,SP_INV,Unable to approve sales order,SP_INV Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
92,10/2/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
93,10/3/2020,SP_INV,Unable to post goods receipt,SP_INV Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
94,10/4/2020,SP_INV,Unable to create purchase order,SP_INV Unable to create purchase order,Checked user authorization,Adjusted user authorization to allow creating purchase orders.,
95,10/5/2020,SP_INV,Unable to view pricing information,SP_INV Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
96,10/6/2020,SP_INV,Unable to create goods issue,SP_INV Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
97,10/7/2020,SP_INV,Unable to change material type,SP_INV Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
98,10/8/2020,SP_INV,Unable to post goods receipt,SP_INV Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
99,10/9/2020,SP_SL,Unable to view pricing information,SP_SL Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
100,10/10/2020,SP_SL,Unable to approve sales order,SP_SL Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
1,5/3/2021,SP_SL,Unable to access sales order,SP_SL Unable to access sales order,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the Sales Order,User access rights reset and access to Sales Order granted.,
2,5/4/2021,SP_SL,Unable to view the customer master data,SP_SL Unable to view the customer master data,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer master data,User access rights reset and access to customer master data granted.,ERRSLS0369
3,5/5/2021,SP_SL,Unable to access material master data,SP_SL Unable to access material master data,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material master data,User access rights reset and access to material master data granted.,
4,5/6/2021,SP_SL,Unable to view pricing conditions,SP_SL Unable to view pricing conditions,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the pricing conditions,User access rights reset and access to pricing conditions granted.,
5,5/7/2021,SP_SL,Unable to access invoice list,SP_SL Unable to access invoice list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the invoice list,User access rights reset and access to invoice list granted.,
6,5/8/2021,SP_SL,Unable to view delivery documents,SP_SL Unable to view delivery documents,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the delivery documents,User access rights reset and access to delivery documents granted.,
7,5/9/2021,SP_SL,Unable to access material groups,SP_SL Unable to access material groups,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material groups,User access rights reset and access to material groups granted.,
8,5/10/2021,SP_SL,Unable to view customer account group,SP_SL Unable to view customer account group,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer account group,User access rights reset and access to customer account group granted.,
9,5/11/2021,SP_SL,Unable to access stock overview,SP_SL Unable to access stock overview,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the stock overview,User access rights reset and access to stock overview granted.,
10,5/12/2021,SP_SL,Unable to view customer sales area,SP_SL Unable to view customer sales area,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer sales area,User access rights reset and access to customer sales area granted.,
11,5/13/2021,SP_SL,Unable to access material ledger,SP_SL Unable to access material ledger,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material ledger,User access rights reset and access to material ledger granted.,
12,5/14/2021,SP_SL,Unable to view sales order history,SP_SL Unable to view sales order history,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the sales order history,User access rights reset and access to sales order history granted.,
13,5/15/2021,SP_SL,Unable to access production orders,SP_SL Unable to access production orders,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the production orders,User access rights reset and access to production orders granted.,
14,5/16/2021,SP_SL,Unable to view customer delivery address,SP_SL Unable to view customer delivery address,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer delivery address,User access rights reset and access to customer delivery address granted.,
15,5/17/2021,SP_SL,Unable to access batch records,SP_SL Unable to access batch records,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the batch records,User access rights reset and access to batch records granted.,
16,5/18/2021,SP_SL,Unable to view customer sales data,SP_SL Unable to view customer sales data,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer sales data,User access rights reset and access to customer sales data granted.,
17,5/19/2021,SP_SL,Unable to access material document list,SP_SL Unable to access material document list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material document list,User access rights reset and access to material document list granted.,
18,5/20/2021,SP_SL,Unable to view customer credit limit,SP_SL Unable to view customer credit limit,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer credit limit,User access rights reset and access to customer credit limit granted.,
19,5/21/2021,SP_SL,Unable to access inventory count,SP_SL Unable to access inventory count,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the inventory count,User access rights reset and access to inventory count granted.,
20,5/22/2021,SP_SL,Unable to view customer contact list,SP_SL Unable to view customer contact list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer contact list,User access rights reset and access to customer contact list granted.,
21,5/23/2021,SP_SL,Unable to access material movement history,SP_SL Unable to access material movement history,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material movement history,User access rights reset and access to material movement history granted.,
22,5/24/2021,SP_SL,Unable to view customer pricing conditions,SP_SL Unable to view customer pricing conditions,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer pricing conditions,User access rights reset and access to customer pricing conditions granted.,
23,5/25/2021,SP_SL,Unable to access production planning list,SP_SL Unable to access production planning list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the production planning list,User access rights reset and access to production planning list granted.,
24,5/26/2021,SP_SL,Unable to view sales order type,SP_SL Unable to view sales order type,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the sales order type,User access rights reset and access to sales order type granted.,
25,5/27/2021,SP_SL,Unable to access stock transfer order,SP_SL Unable to access stock transfer order,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the stock transfer order,User access rights reset and access to stock transfer order granted.,
26,5/28/2021,SP_SL,Unable to view customer account assignment group,SP_SL Unable to view customer account assignment group,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer account assignment group,User access rights reset and access to customer account assignment group granted.,
27,5/29/2021,SP_SL,Unable to access material batch list,SP_SL Unable to access material batch list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material batch list,User access rights reset and access to material batch list granted.,
28,5/30/2021,SP_SL,Unable to view customer payment terms,SP_SL Unable to view customer payment terms,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer payment terms,User access rights reset and access to customer payment terms granted.,
29,5/31/2021,SP_SL,Unable to access purchase order list,SP_SL Unable to access purchase order list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the purchase order list,User access rights reset and access to purchase order list granted.,
30,6/1/2021,SP_SL,Unable to view customer material pricing,SP_SL Unable to view customer material pricing,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer material pricing,User access rights reset and access to customer material pricing granted.,
31,6/2/2021,SP_SL,Unable to access goods issue list,SP_SL Unable to access goods issue list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the goods issue list,User access rights reset and access to goods issue list granted.,
32,6/3/2021,SP_SL,Unable to view customer sales organization,SP_SL Unable to view customer sales organization,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer sales organization,User access rights reset and access to customer sales organization granted.,
33,6/4/2021,SP_SL,Unable to access stock placement list,SP_SL Unable to access stock placement list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the stock placement list,User access rights reset and access to stock placement list granted.,
34,6/5/2021,SP_SL,Unable to view customer sales district,SP_SL Unable to view customer sales district,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer sales district,User access rights reset and access to customer sales district granted.,
35,6/6/2021,SP_SL,Unable to access material group list,SP_SL Unable to access material group list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material group list,User access rights reset and access to material group list granted.,
36,6/7/2021,SP_SL,Unable to view customer delivery block,SP_SL Unable to view customer delivery block,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer delivery block,User access rights reset and access to customer delivery block granted.,
37,6/8/2021,SP_SL,Unable to access goods receipt list,SP_SL Unable to access goods receipt list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the goods receipt list,User access rights reset and access to goods receipt list granted.,
38,6/9/2021,SP_SL,Unable to view customer sales office,SP_SL Unable to view customer sales office,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer sales office,User access rights reset and access to customer sales office granted.,
39,6/10/2021,SP_SL,Unable to access stock transfer document list,SP_SL Unable to access stock transfer document list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the stock transfer document list,User access rights reset and access to stock transfer document list granted.,
40,6/11/2021,SP_SL,Unable to view customer payment method,SP_SL Unable to view customer payment method,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer payment method,User access rights reset and access to customer payment method granted.,
41,6/12/2021,SP_SL,Unable to access material document type list,SP_SL Unable to access material document type list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material document type list,User access rights reset and access to material document type list granted.,
42,6/13/2021,SP_SL,Unable to view customer credit control area,SP_SL Unable to view customer credit control area,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer credit control area,User access rights reset and access to customer credit control area granted.,
43,6/14/2021,SP_SL,Unable to access inventory list,SP_SL Unable to access inventory list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the inventory list,User access rights reset and access to inventory list granted.,
44,6/15/2021,SP_SL,Unable to view customer sales group,SP_SL Unable to view customer sales group,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer sales group,User access rights reset and access to customer sales group granted.,
45,6/16/2021,SP_SL,Unable to access production order list,SP_SL Unable to access production order list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the production order list,User access rights reset and access to production order list granted.,
46,6/17/2021,SP_SL,Unable to view customer shipping conditions,SP_SL Unable to view customer shipping conditions,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer shipping conditions,User access rights reset and access to customer shipping conditions granted.,
47,6/18/2021,SP_SL,Unable to access material type list,SP_SL Unable to access material type list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material type list,User access rights reset and access to material type list granted.,
48,6/19/2021,SP_SL,Unable to view customer delivery schedule,SP_SL Unable to view customer delivery schedule,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer delivery schedule,User access rights reset and access to customer delivery schedule granted.,
49,6/20/2021,SP_SL,Unable to access storage location list,SP_SL Unable to access storage location list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the storage location list,User access rights reset and access to storage location list granted.,
50,6/21/2021,SP_SL,Unable to view customer order block,SP_SL Unable to view customer order block,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer order block,User access rights reset and access to customer order block granted.,
51,6/22/2021,SP_SL,Unable to access batch job list,SP_SL Unable to access batch job list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the batch job list,User access rights reset and access to batch job list granted.,
52,6/23/2021,SP_SL,Unable to view customer payment terms of delivery,SP_SL Unable to view customer payment terms of delivery,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer payment terms of delivery,User access rights reset and access to customer payment,
PPM-001,8/2/2020,SP_PROD,Inability to create new production order,SP_PROD Inability to create new production order,Checked user privileges and ensured they have the correct authorization for creating new production orders,Provided user with the required authorization.,
PPM-002,9/2/2020,SP_PROD,Unable to release production order,SP_PROD Unable to release production order,Checked production order settings and ensured all required fields are populated,Updated production order settings and released the order.,
PPM-003,10/2/2020,SP_PROD,Error when creating material master,SP_PROD Error when creating material master,Checked material master data and identified missing fields,Updated material master data and created the material master.,
